plant,timestamp,block,time,day_of_year,month,hour,minute_of_day,solar_elevation_deg,solar_azimuth_deg,clearsky_ghi_w_m2,clearsky_poa_w_m2,is_daylight,clearsky_power_mw,windy_solarpower_w_m2,windy_clouds_pct,windy_lclouds_pct,windy_mclouds_pct,windy_hclouds_pct,windy_rain_mm,windy_wind_kt,windy_kt,windy_gap_minutes,windy_is_measured,is_past,actual_power_mw,actual_ghi_w_m2,actual_kt,run_time
SIRMOUR,2026-08-09 00:00:00+05:30,1,00:00,221,8,0,0,-48.565221327147256,347.13569817946234,0.0,0.0,0,0.0,,,,,,,,,,0,1,,,,2026-08-09 11:15:00+05:30
SIRMOUR,2026-08-09 00:15:00+05:30,2,00:15,221,8,0,15,-49.17044667415397,352.5402720786613,0.0,0.0,0,0.0,,,,,,,,,,0,1,,,,2026-08-09 11:15:00+05:30
SIRMOUR,2026-08-09 00:30:00+05:30,3,00:30,221,8,0,30,-49.453290818232205,358.0548919637698,0.0,0.0,0,0.0,,,,,,,,,,0,1,,,,2026-08-09 11:15:00+05:30
SIRMOUR,2026-08-09 00:45:00+05:30,4,00:45,221,8,0,45,-49.406994427103115,3.5995002425514713,0.0,0.0,0,0.0,,,,,,,,,,0,1,,,,2026-08-09 11:15:00+05:30
SIRMOUR,2026-08-09 01:00:00+05:30,5,01:00,221,8,1,60,-49.032674217358036,9.091196900646992,0.0,0.0,0,0.0,,,,,,,,,,0,1,,,,2026-08-09 11:15:00+05:30
SIRMOUR,2026-08-09 01:15:00+05:30,6,01:15,221,8,1,75,-48.33919220206137,14.452084022634153,0.0,0.0,0,0.0,,,,,,,,,,0,1,,,,2026-08-09 11:15:00+05:30
SIRMOUR,2026-08-09 01:30:00+05:30,7,01:30,221,8,1,90,-47.34215177795196,19.61598332811326,0.0,0.0,0,0.0,,,,,,,,,,0,1,,,,2026-08-09 11:15:00+05:30
SIRMOUR,2026-08-09 01:45:00+05:30,8,01:45,221,8,1,105,-46.06227245356036,24.532706642753908,0.0,0.0,0,0.0,,,,,,,,,,0,1,,,,2026-08-09 11:15:00+05:30
SIRMOUR,2026-08-09 02:00:00+05:30,9,02:00,221,8,2,120,-44.52350499844186,29.16944475523121,0.0,0.0,0,0.0,,,,,,,,,,0,1,,,,2026-08-09 11:15:00+05:30
SIRMOUR,2026-08-09 02:15:00+05:30,10,02:15,221,8,2,135,-42.75122957709977,33.50968445306955,0.0,0.0,0,0.0,,,,,,,,,,0,1,,,,2026-08-09 11:15:00+05:30
SIRMOUR,2026-08-09 02:30:00+05:30,11,02:30,221,8,2,150,-40.77076773784077,37.55054434112549,0.0,0.0,0,0.0,,,,,,,,,,0,1,,,,2026-08-09 11:15:00+05:30
SIRMOUR,2026-08-09 02:45:00+05:30,12,02:45,221,8,2,165,-38.60630467610951,41.29946654126877,0.0,0.0,0,0.0,,,,,,,,,,0,1,,,,2026-08-09 11:15:00+05:30
SIRMOUR,2026-08-09 03:00:00+05:30,13,03:00,221,8,3,180,-36.28021444572961,44.77097175967026,0.0,0.0,0,0.0,,,,,,,,,,0,1,,,,2026-08-09 11:15:00+05:30
SIRMOUR,2026-08-09 03:15:00+05:30,14,03:15,221,8,3,195,-33.81271851212502,47.98388716573197,0.0,0.0,0,0.0,,,,,,,,,,0,1,,,,2026-08-09 11:15:00+05:30
SIRMOUR,2026-08-09 03:30:00+05:30,15,03:30,221,8,3,210,-31.221787446680594,50.959199510938106,0.0,0.0,0,0.0,,,,,,,,,,0,1,,,,2026-08-09 11:15:00+05:30
SIRMOUR,2026-08-09 03:45:00+05:30,16,03:45,221,8,3,225,-28.523203946462218,53.71851762509118,0.0,0.0,0,0.0,,,,,,,,,,0,1,,,,2026-08-09 11:15:00+05:30
